,date,open,close,high,low,volume,code
898,2019-09-06,1144.5,1142.49,1146.15,1131.0,26176.0,sh600519
899,2019-09-09,1145.0,1136.52,1148.0,1135.0,29379.0,sh600519
900,2019-09-10,1134.3,1123.85,1135.0,1120.01,26227.0,sh600519
901,2019-09-11,1119.22,1069.52,1119.97,1068.0,81716.0,sh600519
902,2019-09-12,1066.0,1099.0,1109.98,1066.0,41211.0,sh600519
903,2019-09-16,1083.0,1099.0,1103.95,1083.0,31371.0,sh600519
904,2019-09-17,1094.0,1094.01,1106.66,1087.0,25196.0,sh600519
905,2019-09-18,1108.5,1148.9,1150.0,1108.18,69314.0,sh600519
906,2019-09-19,1148.0,1145.0,1150.0,1137.1,24479.0,sh600519
907,2019-09-20,1151.0,1157.42,1160.0,1147.59,37626.0,sh600519
908,2019-09-23,1157.0,1149.0,1157.0,1131.0,30026.0,sh600519
909,2019-09-24,1155.0,1184.0,1184.9,1152.0,36269.0,sh600519
910,2019-09-25,1180.0,1174.0,1188.87,1170.5,24024.0,sh600519
911,2019-09-26,1174.94,1167.0,1183.35,1158.81,26081.0,sh600519
912,2019-09-27,1164.0,1174.75,1183.0,1153.0,22826.0,sh600519
913,2019-09-30,1163.0,1150.0,1169.43,1150.0,30825.0,sh600519
914,2019-10-08,1153.0,1167.1,1180.0,1152.01,31045.0,sh600519
915,2019-10-09,1166.2,1146.81,1166.2,1135.05,35788.0,sh600519
916,2019-10-10,1127.0,1155.0,1158.93,1109.02,41173.0,sh600519
917,2019-10-11,1157.0,1174.6,1175.0,1152.21,28689.0,sh600519
918,2019-10-14,1186.0,1180.0,1187.66,1170.0,27187.0,sh600519
919,2019-10-15,1180.0,1211.0,1215.68,1177.03,40034.0,sh600519
920,2019-10-16,1168.0,1170.0,1187.5,1160.0,59150.0,sh600519
921,2019-10-17,1176.0,1183.33,1186.66,1162.5,30508.0,sh600519
922,2019-10-18,1179.0,1175.79,1189.99,1171.69,28291.0,sh600519
923,2019-10-21,1171.86,1168.5,1178.9,1163.3,25274.0,sh600519
924,2019-10-22,1178.0,1170.8,1181.5,1163.89,19309.0,sh600519
925,2019-10-23,1168.0,1158.91,1178.0,1156.11,23080.0,sh600519
926,2019-10-24,1164.95,1150.27,1166.0,1147.16,26178.0,sh600519
927,2019-10-25,1153.3,1171.35,1172.5,1143.03,25998.0,sh600519
928,2019-10-28,1166.01,1178.29,1181.01,1165.0,22485.0,sh600519
929,2019-10-29,1181.11,1193.0,1199.96,1177.77,27803.0,sh600519
930,2019-10-30,1190.0,1183.8,1192.7,1176.0,21254.0,sh600519
931,2019-10-31,1196.0,1180.01,1198.0,1176.15,25909.0,sh600519
932,2019-11-01,1181.0,1185.0,1191.95,1172.5,22811.0,sh600519
933,2019-11-04,1190.0,1199.59,1209.99,1189.0,26737.0,sh600519
934,2019-11-05,1199.5,1199.0,1205.0,1192.0,22254.0,sh600519
935,2019-11-06,1197.0,1193.0,1204.0,1188.88,19737.0,sh600519
936,2019-11-07,1196.51,1201.37,1201.88,1189.0,16167.0,sh600519
937,2019-11-08,1205.0,1205.0,1215.65,1201.51,24512.0,sh600519
938,2019-11-11,1201.5,1199.0,1206.2,1193.51,17342.0,sh600519
939,2019-11-12,1204.0,1201.6,1209.6,1198.21,19150.0,sh600519
940,2019-11-13,1207.0,1224.0,1227.8,1200.0,31977.0,sh600519
941,2019-11-14,1227.0,1230.0,1240.0,1222.0,23521.0,sh600519
942,2019-11-15,1230.0,1224.9,1232.91,1221.5,16340.0,sh600519
